mesh_id,disease_name,taxonomic_level,ncbi_taxon_id,scientific_name,relative_abundance,run_id,project_id,country,host_age,sex,phenotype
D001943,Breast Neoplasms,species,821,Bacteroides vulgatus,16.3755,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,820,Bacteroides uniformis,15.8292,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,28116,Bacteroides ovatus,7.30022,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,29361,Tyzzerella nexilis,6.76087,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,246787,Bacteroides cellulosilyticus,6.72422,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,817,Bacteroides fragilis,6.4706,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,28117,Alistipes putredinis,4.44622,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,371601,Bacteroides xylanisolvens,4.27144,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,853,Faecalibacterium prausnitzii,3.84992,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,818,Bacteroides thetaiotaomicron,3.82333,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,166486,Roseburia intestinalis,3.36455,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,33038,[Ruminococcus] gnavus,3.17934,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,562,Escherichia coli,2.58434,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,823,Parabacteroides distasonis,2.30953,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,360807,Roseburia inulinivorans,2.21363,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,328813,Alistipes onderdonkii,1.88415,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,28118,Odoribacter splanchnicus,0.92244,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,40518,Ruminococcus bromii,0.86903,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,39496,Eubacterium ventriosum,0.79069,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,729,Haemophilus parainfluenzae,0.65388,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,46503,Parabacteroides merdae,0.488,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,338188,Bacteroides finegoldii,0.48732,SRR7160364,,China,,,breast cancer.
D001943,Breast Neoplasms,species,573,Klebsiella pneumoniae,0.3757,SRR7160364,,China,,,breast cancer.
