mesh_id,disease_name,taxonomic_level,ncbi_taxon_id,scientific_name,relative_abundance,run_id,project_id,country,host_age,sex,phenotype
D060825,Cognitive Dysfunction,genus,816,Bacteroides,18.2404,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,841,Roseburia,14.3925,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,216851,Faecalibacterium,9.02413,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1485,Clostridium,8.0504,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1263,Ruminococcus,2.21226,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1301,Streptococcus,2.12257,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1678,Bifidobacterium,1.23852,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,151037,Anaerosinus,1.07196,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1185408,Defluviitalea,0.679052,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,292632,Subdoligranulum,0.234892,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,84111,Eggerthella,0.22208,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1578,Lactobacillus,0.149477,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1253,Pediococcus,0.119581,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,838,Prevotella,0.0597907,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,46255,Weissella,0.0469784,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,-1,Unknown,84.2708,SRR7811031,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,189330,Dorea,24.9713,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,970,Selenomonas,21.5488,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,102106,Collinsella,4.49331,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1678,Bifidobacterium,3.62906,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1263,Ruminococcus,3.56788,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1301,Streptococcus,3.09369,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,816,Bacteroides,1.97706,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,838,Prevotella,1.67495,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1485,Clostridium,1.12046,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,420345,Lactonifactor,0.833652,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,78119,Succinispira,0.435946,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,158846,Megamonas,0.267686,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,117563,Granulicatella,0.133843,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,620,Shigella,0.118547,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1386,Bacillus,0.0458891,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1380,Atopobium,0.042065,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,118747,Bulleidia,0.0229446,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,-1,Unknown,64.0459,SRR7811032,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,189330,Dorea,17.6591,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,239934,Akkermansia,16.3831,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1485,Clostridium,7.42355,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1263,Ruminococcus,4.78735,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,204475,Gemmiger,2.36907,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,816,Bacteroides,2.31634,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,216851,Faecalibacterium,1.64148,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,239759,Alistipes,1.50791,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1350,Enterococcus,1.2478,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,990721,Christensenella,1.19156,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,84111,Eggerthella,0.927944,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,133925,Olsenella,0.794376,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,44748,Sporobacter,0.717047,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,838,Prevotella,0.657293,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,841,Roseburia,0.376098,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,963,Herbaspirillum,0.319859,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,397864,Barnesiella,0.3058,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,651554,Paraeggerthella,0.295255,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,78119,Succinispira,0.274165,SRR7811033,,China,,,Cognitive Dysfunction
D060825,Cognitive Dysfunction,genus,1253,Pediococcus,0.27065,SRR7811033,,China,,,Cognitive Dysfunction
