mesh_id,disease_name,taxonomic_level,ncbi_taxon_id,scientific_name,relative_abundance,run_id,project_id,country,host_age,sex,phenotype
D000067011,Severe Acute Malnutrition,species,1596,Lactobacillus gasseri,7.45547,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1623,Lactobacillus ruminis,4.47189,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,28037,Streptococcus mitis,1.88828,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,87650,Facklamia sourekii,1.74876,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1605,Lactobacillus animalis,1.70457,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,562,Escherichia coli,1.59993,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1303,Streptococcus oralis,1.39993,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1686,Bifidobacterium catenulatum,0.625552,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,165179,Prevotella copri,0.609274,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,33959,Lactobacillus johnsonii,0.59067,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,39778,Veillonella dispar,0.232547,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1598,Lactobacillus reuteri,0.188363,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,39777,Veillonella atypica,0.17441,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1633,Lactobacillus vaginalis,0.144179,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1541,Terrisporobacter mayombei,0.134877,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,623,Shigella flexneri,0.125576,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,470,Acinetobacter baumannii,0.118599,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,158787,Bifidobacterium scardovii,0.118599,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1685,Bifidobacterium breve,0.118599,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1203033,Lactobacillus hominis,0.088368,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1624,Lactobacillus salivarius,0.0790661,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1282,Staphylococcus epidermidis,0.0767406,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,73098,Kluyvera georgiana,0.0697642,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,644,Aeromonas hydrophila,0.0674387,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,28026,Bifidobacterium pseudocatenulatum,0.0627878,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,29466,Veillonella parvula,0.0604623,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1691,Bifidobacterium indicum,0.0534859,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1280,Staphylococcus aureus,0.0465095,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1604,Lactobacillus amylovorus,0.0372076,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1352,Enterococcus faecium,0.0348821,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1313,Streptococcus pneumoniae,0.0348821,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,47880,Pseudomonas fulva,0.0325566,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,234908,Sutterella stercoricanis,0.0302312,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1304,Streptococcus salivarius,0.0279057,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1343,Streptococcus vestibularis,0.0232547,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1689,Bifidobacterium dentium,0.0232547,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,216816,Bifidobacterium longum,0.0209293,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,762212,Bifidobacterium biavatii,0.0186038,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,78345,Bifidobacterium merycicum,0.0186038,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,449659,Lactobacillus pobuzihii,0.0186038,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,29430,Acinetobacter haemolyticus,0.0162783,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,196024,Aeromonas dhakensis,0.0162783,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,39029,Megasphaera cerevisiae,0.0162783,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,553,Pantoea ananatis,0.0162783,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1336,Streptococcus equi,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1307,Streptococcus suis,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,316,Pseudomonas stutzeri,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,28090,Acinetobacter lwoffii,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,29385,Staphylococcus saprophyticus,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,573,Klebsiella pneumoniae,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,108980,Acinetobacter ursingii,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,1622,Lactobacillus murinus,0.0139528,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,102684,Streptococcus infantarius,0.0116274,SRR7638960,,Malawi,,,Severe Acute Malnutrition
D000067011,Severe Acute Malnutrition,species,106648,Acinetobacter bereziniae,0.0116274,SRR7638960,,Malawi,,,Severe Acute Malnutrition
