mesh_id,disease_name,taxonomic_level,ncbi_taxon_id,scientific_name,relative_abundance,run_id,project_id,country,host_age,sex,phenotype
D054323,Shiga-Toxigenic Escherichia coli,species,39491,[Eubacterium] rectale,20.0645,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,216816,Bifidobacterium longum,19.8464,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,853,Faecalibacterium prausnitzii,19.4829,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,166486,Roseburia intestinalis,6.83124,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,40518,Ruminococcus bromii,6.51575,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,46228,Ruminococcus lactaris,3.55813,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,39488,[Eubacterium] hallii,3.54345,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,33038,[Ruminococcus] gnavus,2.48925,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,1304,Streptococcus salivarius,1.86985,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,729,Haemophilus parainfluenzae,1.69566,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,1318,Streptococcus parasanguinis,1.59323,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,40520,Blautia obeum,1.51405,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,218538,Dialister invisus,1.46958,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,360807,Roseburia inulinivorans,1.38619,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,261299,Intestinibacter bartlettii,0.75086,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,1502,Clostridium perfringens,0.62396,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
D054323,Shiga-Toxigenic Escherichia coli,species,28126,Prevotella buccae,0.59762,ERR2270938,,Italy,,,Shiga-Toxigenic Escherichia coli
