mesh_id,disease_name,taxonomic_level,ncbi_taxon_id,scientific_name,relative_abundance,run_id,project_id,country,host_age,sex,phenotype
D013964,Thyroid Neoplasms,genus,33042,Coprococcus,11.9925,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1263,Ruminococcus,7.30793,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1485,Clostridium,5.35082,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,572511,Blautia,5.20508,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,216851,Faecalibacterium,4.95524,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28050,Lachnospira,4.70539,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,841,Roseburia,4.39309,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,189330,Dorea,4.01832,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,119852,Oscillospira,3.56027,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,204475,Gemmiger,1.87383,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,580596,Butyricicoccus,1.4366,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,207244,Anaerostipes,1.16594,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1678,Bifidobacterium,1.04102,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,102106,Collinsella,0.791172,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,84111,Eggerthella,0.437227,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,447020,Adlercreutzia,0.416406,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,82.6983,SRR7423233,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,200.0,SRR7423234,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,33042,Coprococcus,9.09202,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,119852,Oscillospira,6.95344,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1263,Ruminococcus,6.3302,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,572511,Blautia,6.13467,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28050,Lachnospira,4.85152,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,216851,Faecalibacterium,3.75168,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,189330,Dorea,3.67836,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,841,Roseburia,3.00623,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1485,Clostridium,2.96957,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,13687,Sphingomonas,1.95527,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,204475,Gemmiger,1.78419,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,447020,Adlercreutzia,1.6131,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,580596,Butyricicoccus,1.28315,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,830,Butyrivibrio,1.22205,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,848,Fusobacterium,1.14872,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,102106,Collinsella,0.989857,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28100,Phyllobacterium,0.928755,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,180162,Cetobacterium,0.867652,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,207244,Anaerostipes,0.769889,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,638847,Pyramidobacter,0.25663,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,32067,Leptotrichia,0.207748,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,83770,Succinivibrio,0.171086,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1716,Corynebacterium,0.158866,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,79.7507,SRR7423253,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,200.0,SRR7423254,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,200.0,SRR7423256,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,200.0,SRR7423266,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,200.0,SRR7423267,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1263,Ruminococcus,9.78008,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,572511,Blautia,9.40461,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,33042,Coprococcus,8.40336,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28050,Lachnospira,7.08028,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,216851,Faecalibacterium,5.97175,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,841,Roseburia,5.14929,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,189330,Dorea,4.9705,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1485,Clostridium,3.45074,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1678,Bifidobacterium,2.7892,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,119852,Oscillospira,2.34221,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,204475,Gemmiger,2.32433,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,580596,Butyricicoccus,2.0025,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,207244,Anaerostipes,0.858216,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,102106,Collinsella,0.804577,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,2383,Epulopiscium,0.393349,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28100,Phyllobacterium,0.125156,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,68.2997,SRR7423268,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,200.0,SRR7423269,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,841,Roseburia,12.8399,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,33042,Coprococcus,8.26007,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1263,Ruminococcus,8.15784,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,572511,Blautia,7.83071,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,119852,Oscillospira,6.37906,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1485,Clostridium,5.35678,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28050,Lachnospira,3.76201,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,189330,Dorea,2.65794,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,216851,Faecalibacterium,2.18769,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,204475,Gemmiger,2.1468,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,580596,Butyricicoccus,1.30853,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,2172,Methanobrevibacter,1.10407,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1678,Bifidobacterium,0.960949,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,2316,Methanosphaera,0.899612,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,207244,Anaerostipes,0.756492,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,447020,Adlercreutzia,0.674709,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,638847,Pyramidobacter,0.204457,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,-1,Unknown,69.0247,SRR7423270,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1263,Ruminococcus,8.29016,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,33042,Coprococcus,7.90155,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,119852,Oscillospira,7.31865,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,572511,Blautia,5.6563,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,1485,Clostridium,4.2962,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,189330,Dorea,3.36788,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,841,Roseburia,1.79188,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,28050,Lachnospira,1.7487,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,102106,Collinsella,1.68394,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,580596,Butyricicoccus,1.59758,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,204475,Gemmiger,1.57599,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,447020,Adlercreutzia,1.27375,SRR7423271,,China,,,Thyroid Neoplasms
D013964,Thyroid Neoplasms,genus,140625,Lachnobacterium,1.23057,SRR7423271,,China,,,Thyroid Neoplasms
